loss_gfn=141109.682797, loss_c=0.259039, valid_accuracy=0.871, valid_f1=0.871
loss_gfn=138036.931962, loss_c=0.236128, valid_accuracy=0.858, valid_f1=0.858
loss_gfn=119718.856953, loss_c=0.220967, valid_accuracy=0.850, valid_f1=0.850
loss_gfn=120317.767634, loss_c=0.209571, valid_accuracy=0.833, valid_f1=0.833
loss_gfn=141423.699314, loss_c=0.204877, valid_accuracy=0.807, valid_f1=0.807
loss_gfn=149484.581676, loss_c=0.205256, valid_accuracy=0.831, valid_f1=0.831
loss_gfn=83736.477177, loss_c=0.189090, valid_accuracy=0.845, valid_f1=0.845
loss_gfn=71994.058028, loss_c=0.182806, valid_accuracy=0.870, valid_f1=0.870
loss_gfn=65843.210047, loss_c=0.168505, valid_accuracy=0.883, valid_f1=0.883
loss_gfn=155340.376412, loss_c=0.175252, valid_accuracy=0.854, valid_f1=0.854
loss_gfn=196241.867207, loss_c=0.180439, valid_accuracy=0.874, valid_f1=0.874
loss_gfn=139040.645309, loss_c=0.167051, valid_accuracy=0.887, valid_f1=0.887
loss_gfn=142563.320437, loss_c=0.131572, valid_accuracy=0.906, valid_f1=0.906
loss_gfn=50728.585960, loss_c=0.110366, valid_accuracy=0.892, valid_f1=0.892
loss_gfn=48206.601135, loss_c=0.095205, valid_accuracy=0.900, valid_f1=0.900
loss_gfn=40976.363448, loss_c=0.083495, valid_accuracy=0.905, valid_f1=0.905
loss_gfn=33752.497457, loss_c=0.076093, valid_accuracy=0.905, valid_f1=0.905
loss_gfn=31035.222728, loss_c=0.071193, valid_accuracy=0.900, valid_f1=0.900
loss_gfn=32091.389524, loss_c=0.066696, valid_accuracy=0.900, valid_f1=0.900
loss_gfn=24451.160466, loss_c=0.061988, valid_accuracy=0.888, valid_f1=0.888
test_accuracy=0.872, test_f1=0.872
Memory point 1: 130.05016497987688 MB ± 11.75
Memory point 2: 76.21345436789773 MB ± 5.56
Memory point 2: 76.21682202888258 MB ± 5.56
Acc: 87.50 ± 0.26
Test f1: 0.88 ± 0.00
Valid acc: 0.89 ± 0.01
valid f1: 0.89 ± 0.01
